sentence_id	dependent_id	dependent	dep_lemma	UPOS	XPOS	head_id	dependency_type	dependency_distance	dd_abs
1	1	人	人	NOUN	NN	2	compound	1	1
1	2	人	人	PART	SFN	4	nsubj	2	2
1	3	都	都	ADV	RB	4	mark	1	1
1	4	力图	力图	VERB	VV	0	root	-4	4
1	5	依靠	依靠	ADP	IN	8	case	3	3
1	6	自己	自己	PRON	PRD	8	det	2	2
1	7	的	的	PART	DEC	6	case	-1	1
1	8	劳动	劳动	NOUN	NN	4	obl	-4	4
1	9	来	来	ADV	RB	10	mark	1	1
1	10	满足	满足	VERB	VV	4	xcomp	-6	6
1	11	自身	自身	PRON	PRD	13	nsubj	2	2
1	12	随时	随时	ADV	RB	13	advmod	1	1
1	13	发生	发生	VERB	VV	15	acl:relcl	2	2
1	14	的	的	PART	DEC	13	mark:rel	-1	1
1	15	需要	需要	NOUN	NN	10	obj	-5	5
1	16	。	。	PUNCT	.	10	punct	-6	6
EOS
2	1	饿	饿	VERB	VV	6	advcl	5	5
2	2	了	了	AUX	AS	1	aux	-1	1
2	3	便	便	ADV	RB	6	mark	3	3
2	4	到	到	VERB	VV	6	advcl	2	2
2	5	森林	森林	NOUN	NN	4	obj	-1	1
2	6	去	去	VERB	VV	10	advcl	4	4
2	7	打猎	打猎	VERB	VV	6	xcomp	-1	1
2	8	；	；	PUNCT	:	6	punct	-2	2
2	9	衣服	衣服	NOUN	NN	10	nsubj	1	1
2	10	坏	坏	ADJ	JJ	18	advcl	8	8
2	11	了	了	PART	UH	10	discourse	-1	1
2	12	，	，	PUNCT	,	10	punct	-2	2
2	13	便	便	VERB	VV	17	acl:relcl	4	4
2	14	剥兽	剥兽	VERB	VV	15	compound	1	1
2	15	类	类	PART	SFN	13	obj	-2	2
2	16	的	的	PART	DEC	13	mark:rel	-3	3
2	17	皮革	皮革	NOUN	NN	18	nsubj	1	1
2	18	来穿	来穿	VERB	VV	35	advcl	17	17
2	19	；	；	PUNCT	:	18	punct	-1	1
2	20	房屋	房屋	NOUN	NN	21	nsubj	1	1
2	21	破	破	VERB	VV	35	advcl	14	14
2	22	了	了	PART	UH	21	discourse	-1	1
2	23	，	，	PUNCT	,	21	punct	-2	2
2	24	便	便	ADV	RB	27	mark	3	3
2	25	就	就	ADV	RB	27	mark	2	2
2	26	近	近	ADV	RB	27	advmod	1	1
2	27	伐取	伐取	VERB	VV	35	advcl	8	8
2	28	树枝	树枝	NOUN	NN	29	nmod	1	1
2	29	草皮	草皮	NOUN	NN	27	obj	-2	2
2	30	，	，	PUNCT	,	27	punct	-3	3
