sentence_id	dependent_id	dependent	dep_lemma	UPOS	XPOS	head_id	dependency_type	dependency_distance	dd_abs
1	1	这	这	DET	DT	2	det	1	1
1	2	种	种	NOUN	NNB	3	clf	1	1
1	3	商业	商业	NOUN	NN	17	nsubj	14	14
1	4	，	，	PUNCT	,	3	punct	-1	1
1	5	有的	有的	ADV	RB	6	advmod	1	1
1	6	是	是	VERB	VC	17	advcl	11	11
1	7	以	以	ADP	IN	9	case	2	2
1	8	原生	原生	NOUN	NN	9	nmod	1	1
1	9	产物	产物	NOUN	NN	14	obl	5	5
1	10	与	与	CCONJ	CC	12	cc	2	2
1	11	制造	制造	VERB	VV	12	compound	1	1
1	12	品	品	PART	SFN	9	conj	-3	3
1	13	直接	直接	ADV	RB	14	advmod	1	1
1	14	交换	交换	VERB	VV	6	xcomp	-8	8
1	15	，	，	PUNCT	,	6	punct	-9	9
1	16	有的	有的	ADV	RB	17	advmod	1	1
1	17	是	是	VERB	VC	0	root	-17	17
1	18	以	以	ADP	IN	19	case	1	1
1	19	货币	货币	NOUN	NN	22	obl	3	3
1	20	或	或	CCONJ	CC	21	cc	1	1
1	21	纸币	纸币	NOUN	NN	19	conj	-2	2
1	22	作	作	VERB	VV	17	xcomp	-5	5
1	23	媒介	媒介	NOUN	NN	24	nmod	1	1
1	24	交换	交换	NOUN	NN	22	obj	-2	2
1	25	。	。	PUNCT	.	17	punct	-8	8
EOS
2	1	农村	农村	NOUN	NN	2	nsubj	1	1
2	2	以	以	VERB	VV	0	root	-2	2
2	3	生活	生活	NOUN	NN	4	nmod	1	1
2	4	资料	资料	NOUN	NN	8	nsubj	4	4
2	5	及	及	CCONJ	CC	7	cc	2	2
2	6	制造	制造	NOUN	NN	7	nmod	1	1
2	7	材料	材料	NOUN	NN	4	conj	-3	3
2	8	供给	供给	VERB	VV	2	ccomp	-6	6
2	9	都市	都市	NOUN	NN	8	obj	-1	1
2	10	，	，	PUNCT	,	13	punct	3	3
