sentence_ID	dependent_ID	dependent	dependent_lemma	dependent_UPOS	dependent_XPOS	head_ID	dependency_type
1	1	这	这	DET	DT	2	det
1	2	种	种	NOUN	NNB	3	clf
1	3	商业	商业	NOUN	NN	15	nsubj
1	4	有的	有的	ADV	RB	5	advmod
1	5	是	是	VERB	VC	15	advcl
1	6	以	以	ADP	IN	8	case
1	7	原生	原生	NOUN	NN	8	nmod
1	8	产物	产物	NOUN	NN	13	obl
1	9	与	与	CCONJ	CC	11	cc
1	10	制造	制造	VERB	VV	11	compound
1	11	品	品	PART	SFN	8	conj
1	12	直接	直接	ADV	RB	13	advmod
1	13	交换	交换	VERB	VV	5	xcomp
1	14	有的	有的	ADV	RB	15	advmod
1	15	是	是	VERB	VC	0	root
1	16	以	以	ADP	IN	17	case
1	17	货币	货币	NOUN	NN	20	obl
1	18	或	或	CCONJ	CC	19	cc
1	19	纸币	纸币	NOUN	NN	17	conj
1	20	作	作	VERB	VV	15	xcomp
1	21	媒介	媒介	NOUN	NN	22	nmod
1	22	交换	交换	NOUN	NN	20	obj
EOS
2	1	农村	农村	NOUN	NN	2	nsubj
2	2	以	以	VERB	VV	0	root
2	3	生活	生活	NOUN	NN	4	nmod
2	4	资料	资料	NOUN	NN	8	nsubj
2	5	及	及	CCONJ	CC	7	cc
2	6	制造	制造	NOUN	NN	7	nmod
2	7	材料	材料	NOUN	NN	4	conj
2	8	供给	供给	VERB	VV	2	ccomp
2	9	都市	都市	NOUN	NN	8	obj
2	10	都市	都市	NOUN	NN	12	nsubj
2	11	则	则	ADV	RB	12	mark
2	12	以	以	VERB	VV	2	parataxis
2	13	一	一	NUM	CD	14	nummod
2	14	部分	部分	NOUN	NN	16	nmod
2	15	制造	制造	VERB	VV	16	compound
2	16	品	品	PART	SFN	17	nsubj
2	17	供给	供给	VERB	VV	12	ccomp
2	18	农村	农村	NOUN	NN	19	nmod
2	19	居民	居民	NOUN	NN	17	obj
EOS
3	1	不再	不再	ADV	RB	2	advmod
3	2	生产	生产	VERB	VV	10	acl:relcl
3	3	亦	亦	ADV	RB	6	mark
3	4	不能	能	AUX	MD	6	aux
