sentence_id	sentence	dd_sum	dependency_relation	mdd_sentence	HI	HF	HI_per	HF_per
1	为使读者易于理解社会一般业务分工所产生的结果我现在来讨论个别制造业分工状况	62	22	2.8181818181818183	6	16	0.2727272727272727	0.7272727272727273
2	一般人认为分工最完全的制造业乃是一些极不重要的制造业	63	17	3.7058823529411766	3	14	0.17647058823529413	0.8235294117647058
3	不重要制造业的分工实际上并不比重要制造业的分工更为周密	62	17	3.6470588235294117	3	14	0.17647058823529413	0.8235294117647058
4	但是目的在于供给少数人小量需要的不重要制造业所雇用的劳动者人数必然不多而从事各部门工作的工人往往可集合在同一工厂内使观察者能一览无遗	150	43	3.488372093023256	14	29	0.32558139534883723	0.6744186046511628
5	反之那些大制造业要供给大多数人的大量需要所以各工作部门都雇有许许多多劳动者要把这许许多多劳动者集合在一个厂内势不可能	137	39	3.5128205128205128	8	31	0.20512820512820512	0.7948717948717948
6	我们要同时看见一个部门以上的工人也不可能	32	12	2.6666666666666665	3	9	0.25	0.75
7	象这种大制造业的工作尽管实际上比小制造业分成多得多的部分但因为这种划分不能象小制造业的划分那么明显所以很少人注意到	151	37	4.081081081081081	7	30	0.1891891891891892	0.8108108108108109
8	扣针制造业是极微小的了但它的分工往往唤起人们的注意	37	16	2.3125	6	10	0.375	0.625
9	所以我把它引来作为例子	13	7	1.8571428571428572	3	4	0.42857142857142855	0.5714285714285714
10	一个劳动者如果对于这职业分工的结果使扣针的制造成为一种专门职业没有受过相当训练又不知怎样使用这职业上的机械使这种机械有发明的可能的恐怕也是分工的结果那么纵使竭力工作也许一天也制造不出一枚扣针要做二十枚当然是决不可能了	248	69	3.5942028985507246	22	47	0.3188405797101449	0.6811594202898551
11	但按照现在经营的方法不但这种作业全部已经成为专门职业而且这种职业分成若干部门其中有大多数也同样成为专门职业	90	32	2.8125	7	25	0.21875	0.78125
12	一个人抽铁线一个人拉直一个人切截一个人削尖线的一端一个人磨另一端以便装上圆头	88	31	2.838709677419355	6	25	0.1935483870967742	0.8064516129032258
13	要做圆头就需要有二三种不同的操作	24	11	2.1818181818181817	3	8	0.2727272727272727	0.7272727272727273
14	装圆头涂白色乃至包装都是专门的职业	27	10	2.7	3	7	0.3	0.7
15	这样扣针的制造分为十八种操作	15	8	1.875	3	5	0.375	0.625
16	有些工厂这十八种操作分由十八个专门工人担任	24	12	2.0	4	8	0.3333333333333333	0.6666666666666666
17	固然有时一人也兼任二三门	16	7	2.2857142857142856	1	6	0.14285714285714285	0.8571428571428571
18	我见过一个这种小工厂只雇用十个工人因此在这一个工厂中有几个工人担任二三种操作	89	30	2.966666666666667	7	23	0.23333333333333334	0.7666666666666667
19	象这样一个小工厂的工人虽很穷困他们的必要机械设备虽很简陋但他们如果勤勉努力一日也能成针十二磅	136	30	4.533333333333333	5	25	0.16666666666666666	0.8333333333333334
